alt
"Photo d'archive du spectacle à St-Cadou, France: Les performeurs sont en cercle, assis au sol, et regardent Jean-Paul Quéinnec (performeur/artiste) introduire le spectacle."
"Photo d'archive du spectacle à St-Cadou, France"
"Photo d'archive du spectacle à St-Cadou, France"
"Photo d'archive du spectacle à St-Cadou, France"
"Photo d'archive du spectacle à St-Cadou, France"
"Photo d'archive du spectacle à St-Cadou, France"
"Photo d'archive du spectacle à St-Cadou, France"
"Photo d'archive du spectacle à St-Cadou, France"
"Photo d'archive du spectacle à St-Cadou, France"
"Photo d'archive du spectacle à St-Cadou, France"
"Photo d'archive du spectacle à St-Cadou, France"
"Photo d'archive du spectacle à Douarnenez, France: Les performeurs sont en cercle, assis au sol, et regardent Jean-Paul Quéinnec (performeur/artiste) introduire le spectacle."
"Photo d'archive du spectacle à Douarnenez, France"
"Photo d'archive du spectacle à Douarnenez, France"
"Photo d'archive du spectacle à Douarnenez, France"
"Photo d'archive du spectacle à Douarnenez, France"
"Photo d'archive du spectacle à Douarnenez, France"
"Photo d'archive du spectacle à Douarnenez, France"
"Photo d'archive du spectacle à Douarnenez, France"
"Photo d'archive du spectacle au Festival des Musiques de Création, Saguenay, Québec: Les performeurs sont en cercle, assis au sol, et regardent Jean-Paul Quéinnec (performeur/artiste) introduire le spectacle."
"Photo d'archive du spectacle au Festival des Musiques de Création, Saguenay, Québec"
"Photo d'archive du spectacle au Festival des Musiques de Création, Saguenay, Québec"
"Photo d'archive du spectacle au Festival des Musiques de Création, Saguenay, Québec"
"Photo d'archive du spectacle au Festival des Musiques de Création, Saguenay, Québec"
"Photo d'archive du spectacle au Festival des Musiques de Création, Saguenay, Québec"
"Photo d'archive du spectacle au Festival des Musiques de Création, Saguenay, Québec"
"Photo d'archive du spectacle au Théâtre l’Horizon, La Rochelle, France"
"Photo d'archive du spectacle au Théâtre l’Horizon, La Rochelle, France"
"Photo d'archive du spectacle au Théâtre l’Horizon, La Rochelle, France"
"Photo d'archive du spectacle au Théâtre l’Horizon, La Rochelle, France"
"Photo d'archive du spectacle au Théâtre l’Horizon, La Rochelle, France"
"Photo d'archive du spectacle au Théâtre l’Horizon, La Rochelle, France"
"Photo d'archive du spectacle au Théâtre l’Horizon, La Rochelle, France: Les performeurs sont en cercle, assis au sol, et regardent Jean-Paul Quéinnec (performeur/artiste) introduire le spectacle."
"Photo d'archive du spectacle au Théâtre l’Horizon, La Rochelle, France"
"Photo d'archive du spectacle au Théâtre l’Horizon, La Rochelle, France"
"Photo d'archive du spectacle au Festival Le Lac, lac du Drennec, France"
"Photo d'archive du spectacle au Festival Le Lac, lac du Drennec, France"
"Photo d'archive du spectacle au Festival Le Lac, lac du Drennec, France"
"Photo d'archive du spectacle au Festival Le Lac, lac du Drennec, France"
"Photo d'archive du spectacle au Festival Le Lac, lac du Drennec, France"
"Photo d'archive du spectacle au Lantiss, Québec, Québec: Les performeurs sont en cercle, assis au sol, et regardent Jean-Paul Quéinnec (performeur/artiste) introduire le spectacle."
"Photo d'archive du spectacle au Lantiss, Québec, Québec"
"Photo d'archive du spectacle au Lantiss, Québec, Québec"
"Photo d'archive du spectacle au Lantiss, Québec, Québec"
"Photo d'archive du spectacle au Lantiss, Québec, Québec"
"Photo d'archive du spectacle au Lantiss, Québec, Québec"
"Photo d'archive du spectacle au Lantiss, Québec, Québec"
"Photo d'archive du spectacle au Lantiss, Québec, Québec"
"Photo d'archive du spectacle au Festival Phonurgia Nova, Arles et radio 3DFM, France: Les performeurs sont en cercle, assis au sol, et regardent Jean-Paul Quéinnec (performeur/artiste) introduire le spectacle."
"Photo d'archive du spectacle au Festival Phonurgia Nova, Arles et radio 3DFM, France"
"Photo d'archive du spectacle au Festival Phonurgia Nova, Arles et radio 3DFM, France"
"Photo d'archive du spectacle au Festival Phonurgia Nova, Arles et radio 3DFM, France"
"Photo d'archive du spectacle au Festival Phonurgia Nova, Arles et radio 3DFM, France"
"Photo d'archive du spectacle au Festival Phonurgia Nova, Arles et radio 3DFM, France"
"Photo d'archive du spectacle au Festival Phonurgia Nova, Arles et radio 3DFM, France"
"Photo d'archive du spectacle au Festival Phonurgia Nova, Arles et radio 3DFM, France"
"Photo d'archive de la préparation à St-Cadou, France"
"Photo d'archive de la préparation à St-Cadou, France"
"Photo d'archive de la préparation à St-Cadou, France"
"Photo d'archive de la préparation à St-Cadou, France"
"Photo d'archive de la préparation à St-Cadou, France"
"Photo d'archive de la préparation à St-Cadou, France"
"Photo d'archive de la préparation à St-Cadou, France"
"Photo d'archive de la préparation à St-Cadou, France"
"Photo d'archive de la préparation à St-Cadou, France"
"Photo d'archive de la préparation à St-Cadou, France"
"Photo d'archive de la préparation à St-Cadou, France"
"Photo d'archive de la préparation à St-Cadou, France"
